variant,k,layer,recall,samples
fifo,4,15,0.5391666666666667,1200
fifo,4,16,0.575,1200
fifo,4,17,0.4725,1200
fifo,4,18,0.6358333333333334,1200
fifo,4,19,0.7133333333333334,1200
fifo,4,20,0.7825,1200
fifo,4,21,0.64,1200
fifo,4,22,0.48583333333333334,1200
fifo,4,23,0.5833333333333334,1200
fifo,4,24,0.6008333333333333,1200
fifo,4,25,0.4775,1200
fifo,4,26,0.5866666666666667,1200
fifo,4,27,0.5525,1200
fifo,4,28,0.5925,1200
fifo,4,29,0.6325,1200
fifo,4,30,0.5775,1200
fifo,4,31,0.5025,1200
fifo,4,32,0.46416666666666667,1200
fifo,4,33,0.49416666666666664,1200
fifo,4,34,0.5958333333333333,1200
fifo,4,35,0.5616666666666666,1200
fifo,4,36,0.6316666666666667,1200
fifo,4,37,0.5166666666666667,1200
fifo,4,38,0.4216666666666667,1200
fifo,4,39,0.6433333333333333,1200
fifo,4,40,0.43416666666666665,1200
fifo,4,41,0.46,1200
fifo,4,42,0.3541666666666667,1200
fifo,4,43,0.22333333333333333,1200
full,1,0,0.3283333333333333,1200
full,1,1,0.6158333333333333,1200
full,1,2,0.5108333333333334,1200
full,1,3,0.6591666666666667,1200
full,1,4,0.7333333333333333,1200
full,1,5,0.7333333333333333,1200
full,1,6,0.8083333333333333,1200
full,1,7,0.775,1200
full,1,8,0.7825,1200
full,1,9,0.6816666666666666,1200
full,1,10,0.7691666666666667,1200
full,1,11,0.6583333333333333,1200
full,1,12,0.7258333333333333,1200
full,1,13,0.6733333333333333,1200
full,1,14,0.7166666666666667,1200
full,1,15,0.7825,1200
full,1,16,0.7808333333333334,1200
full,1,17,0.6225,1200
full,1,18,0.7191666666666666,1200
full,1,19,0.7816666666666666,1200
full,1,20,0.625,1200
full,1,21,0.7441666666666666,1200
full,1,22,0.4716666666666667,1200
full,1,23,0.7525,1200
full,1,24,0.7883333333333333,1200
full,1,25,0.6716666666666666,1200
