slots,layer,events,local_hidden_cosine,local_hidden_relative_l2,fifo_pool_hit8,fifo_ranked_recall8,fifo_ranked_recall16
16,0,1947,0.9558526822959279,0.2955237510869554,0.10188751926040061,0.049049820236260915,0.10188751926040061
16,1,1947,0.9929107093259967,0.09342383743622712,0.27003081664098616,0.15549563430919364,0.27003081664098616
16,2,1947,0.9816700003199337,0.1508255723130185,0.319658448895737,0.18547765793528506,0.319658448895737
16,3,1947,0.9950972434720772,0.07637005445374435,0.4905624036979969,0.2628402670775552,0.4905624036979969
16,4,1947,0.9846003742284982,0.11891279354176179,0.4133281972265023,0.21346944016435543,0.4133281972265023
16,5,1947,0.9913403216528158,0.10324429718100069,0.3602336928608115,0.19087057010785824,0.3602336928608115
16,6,1947,0.9878193507958384,0.1258711976264129,0.3412300975860298,0.20640729327170004,0.3412300975860298
16,7,1947,0.9924150039262879,0.11265681570230396,0.33269131997945556,0.19401643554185927,0.33269131997945556
16,8,1947,0.9983510787293923,0.04735208123341751,0.5144453004622496,0.27747817154596816,0.5144453004622496
16,9,1947,0.9984373714778273,0.047212761867721956,0.5465459681561377,0.2923728813559322,0.5465459681561377
16,10,1947,0.9971216643328632,0.06284418975795197,0.4645608628659476,0.25192604006163327,0.4645608628659476
16,11,1947,0.9984311731319314,0.049143621930121784,0.4943502824858757,0.2710580380071905,0.4943502824858757
16,12,1947,0.9917218328543901,0.12082452083622429,0.3333333333333333,0.17982794042116076,0.3333333333333333
16,13,1947,0.9971954233389293,0.06480091690229775,0.522663071391885,0.2707370313302517,0.522663071391885
16,14,1947,0.9947322503646273,0.08713101210729755,0.4562788906009245,0.25699794555726757,0.4562788906009245
16,15,1947,0.9957229662428523,0.06948379297989316,0.6138931689779148,0.309065228556754,0.6138931689779148
16,16,1947,0.9953963377120575,0.07725753600461714,0.5772342064714946,0.29442732408834105,0.5772342064714946
16,17,1947,0.9951035555716612,0.08643302891094166,0.46545968156137646,0.24672573189522343,0.46545968156137646
16,18,1947,0.9867866029188199,0.15131583385473302,0.3210708782742681,0.1780945043656908,0.3210708782742681
16,19,1947,0.9947282069539659,0.09149533432402013,0.47117360041088857,0.2593733949666153,0.47117360041088857
16,20,1947,0.9935312111763497,0.10160596456135859,0.4029275808936826,0.21610169491525424,0.4029275808936826
16,21,1947,0.9827718051878328,0.15706217653054,0.3794940934771443,0.2213020030816641,0.3794940934771443
16,22,1947,0.9625441522582615,0.2332822072442168,0.1933744221879815,0.12230354391371341,0.1933744221879815
16,23,1947,0.9944911382613353,0.08915561659174481,0.5151515151515151,0.2645095017976374,0.5151515151515151
16,24,1947,0.991344613364544,0.11525967916054035,0.4729070364663585,0.258602978941962,0.4729070364663585
16,25,1947,0.9933076944711913,0.0988591465669898,0.5021186440677966,0.26810477657935283,0.5021186440677966
16,26,1947,0.9884363613839643,0.1277221610481085,0.424884437596302,0.23247303543913714,0.424884437596302
16,27,1947,0.9912791111252269,0.11355559044550327,0.46359784283513095,0.25577812018489987,0.46359784283513095
16,28,1947,0.9851525314065559,0.1559760758699944,0.31940164355418593,0.18207498715973292,0.31940164355418593
16,29,1947,0.9856219216769345,0.1429743831594531,0.4946712891628146,0.2669491525423729,0.4946712891628146
16,30,1947,0.9779231496521729,0.1764943598432824,0.41640986132511554,0.2323446327683616,0.41640986132511554
16,31,1947,0.9860109937108236,0.13237868380057896,0.5886620441705187,0.298728813559322,0.5886620441705187
16,32,1947,0.9871090682537131,0.1350384276618927,0.5556625577812019,0.30585516178736516,0.5556625577812019
16,33,1947,0.9845987304775979,0.1508034657506235,0.45428864920390344,0.23568310220852592,0.45428864920390344
16,34,1947,0.9787390514176703,0.18933097273131255,0.33962506420133537,0.18952234206471494,0.33962506420133537
16,35,1947,0.9808221394812627,0.1752504762334727,0.45884694401643555,0.23786594761171032,0.45884694401643555
16,36,1947,0.976915312773869,0.1823796773041865,0.444658448895737,0.2408834103749358,0.444658448895737
16,37,1947,0.9850437093211135,0.15577540861528913,0.37153312788906007,0.20223420647149462,0.37153312788906007
16,38,1947,0.9649556160052775,0.24138253385635902,0.2266307139188495,0.11665382639958911,0.2266307139188495
16,39,1947,0.9852644467811938,0.1335668354611482,0.5561761684643041,0.28935541859270675,0.5561761684643041
16,40,1947,0.9922408484163207,0.1042566614033739,0.5488572162300975,0.2942347200821777,0.5488572162300975
16,41,1947,0.9875899811467709,0.13289278601684656,0.44087057010785824,0.24325885978428352,0.44087057010785824
16,42,1947,0.9816216125870306,0.16225139320782292,0.3081664098613251,0.17822290703646637,0.3081664098613251
16,43,1947,0.9929445860974444,0.09647399868129267,0.47971237801746275,0.25841037493579866,0.47971237801746275
16,44,1947,0.9926614105371204,0.10198564643587534,0.3940677966101695,0.23260143810991268,0.3940677966101695
16,45,1947,0.9934752284336662,0.0799953046381264,0.4097329224447869,0.22605290190035954,0.4097329224447869
16,46,1947,0.9936526482794841,0.07248073146502648,0.3768618387262455,0.20936055469953774,0.3768618387262455
16,47,340,0.9929639448809426,0.08703706157309743,0.2772058823529412,0.15919117647058822,0.2772058823529412
22,0,1947,0.959911381342516,0.27757050169954034,0.14926810477657934,0.0450693374422188,0.10695942475603493
22,1,1947,0.993466585974461,0.08592064251825272,0.3266563944530046,0.15087313816127376,0.26052901900359526
