slots,events,cache_mib,cache_gib,local_hidden_cosine,local_hidden_relative_l2,fifo_pool_hit8,fifo_ranked_recall8,fifo_ranked_recall16
16,91849,1443.84,1.41,0.988007420626092,0.12306429709573655,0.4239213273960522,0.23005966314276693,0.4239213273960522
22,91849,1985.28,1.93875,0.9897106475434975,0.1104776639456379,0.49343623773802653,0.20693747346187766,0.3812085597012488
32,91849,2887.68,2.82,0.9916009163397231,0.09520318168806327,0.5771238663458502,0.182007969602282,0.33315686616076384
44,91849,3970.56,3.8775,0.9929221990295761,0.0842280963495579,0.6331587714618558,0.16647296105564569,0.3030449433309018
64,91849,5775.36,5.64,0.9939599319243789,0.07398582288186618,0.6858417075852759,0.15124688347178522,0.27198309181373775
