rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses,total_prefetch_pages
16,2504,16388,0,16,0.000000,8,2504,0
16,2520,16388,0,16,0.000000,8,2520,0
16,2535,16388,1,15,0.062500,9,2535,0
16,2551,16388,0,16,0.000000,9,2551,0
16,2567,16388,0,16,0.000000,9,2567,0
16,2583,16388,0,16,0.000000,9,2583,0
16,2599,16388,0,16,0.000000,9,2599,0
16,2615,16388,0,16,0.000000,9,2615,0
16,2631,16388,0,16,0.000000,9,2631,0
40,2670,16388,1,39,0.025000,10,2670,0
120,2790,16388,0,120,0.000000,10,2790,0
16,2806,16388,0,16,0.000000,10,2806,0
16,2822,16388,0,16,0.000000,10,2822,0
8,2830,16388,0,8,0.000000,10,2830,0
16,2846,16388,0,16,0.000000,10,2846,0
16,2862,16388,0,16,0.000000,10,2862,0
16,2878,16388,0,16,0.000000,10,2878,0
16,2894,16388,0,16,0.000000,10,2894,0
16,2910,16388,0,16,0.000000,10,2910,0
16,2926,16388,0,16,0.000000,10,2926,0
16,2942,16388,0,16,0.000000,10,2942,0
16,2958,16388,0,16,0.000000,10,2958,0
16,2973,16388,1,15,0.062500,11,2973,0
16,2989,16388,0,16,0.000000,11,2989,0
16,3004,16388,1,15,0.062500,12,3004,0
8,3012,16388,0,8,0.000000,12,3012,0
16,3028,16388,0,16,0.000000,12,3028,0
16,3044,16388,0,16,0.000000,12,3044,0
16,3060,16388,0,16,0.000000,12,3060,0
16,3076,16388,0,16,0.000000,12,3076,0
16,3092,16388,0,16,0.000000,12,3092,0
16,3108,16388,0,16,0.000000,12,3108,0
16,3124,16388,0,16,0.000000,12,3124,0
16,3140,16388,0,16,0.000000,12,3140,0
8,3148,16388,0,8,0.000000,12,3148,0
16,3164,16388,0,16,0.000000,12,3164,0
16,3180,16388,0,16,0.000000,12,3180,0
16,3196,16388,0,16,0.000000,12,3196,0
16,3212,16388,0,16,0.000000,12,3212,0
8,3220,16388,0,8,0.000000,12,3220,0
16,3236,16388,0,16,0.000000,12,3236,0
16,3252,16388,0,16,0.000000,12,3252,0
16,3268,16388,0,16,0.000000,12,3268,0
16,3284,16388,0,16,0.000000,12,3284,0
16,3299,16388,1,15,0.062500,13,3299,0
16,3315,16388,0,16,0.000000,13,3315,0
16,3331,16388,0,16,0.000000,13,3331,0
16,3347,16388,0,16,0.000000,13,3347,0
8,3355,16388,0,8,0.000000,13,3355,0
16,3371,16388,0,16,0.000000,13,3371,0
16,3387,16388,0,16,0.000000,13,3387,0
16,3402,16388,1,15,0.062500,14,3402,0
16,3418,16388,0,16,0.000000,14,3418,0
8,3426,16388,0,8,0.000000,14,3426,0
16,3442,16388,0,16,0.000000,14,3442,0
16,3458,16388,0,16,0.000000,14,3458,0
16,3474,16388,0,16,0.000000,14,3474,0
16,3490,16388,0,16,0.000000,14,3490,0
16,3506,16388,0,16,0.000000,14,3506,0
16,3522,16388,0,16,0.000000,14,3522,0
16,3538,16388,0,16,0.000000,14,3538,0
16,3554,16388,0,16,0.000000,14,3554,0
8,3562,16388,0,8,0.000000,14,3562,0
16,3578,16388,0,16,0.000000,14,3578,0
16,3594,16388,0,16,0.000000,14,3594,0
8,3602,16388,0,8,0.000000,14,3602,0
16,3618,16388,0,16,0.000000,14,3618,0
16,3634,16388,0,16,0.000000,14,3634,0
16,3650,16388,0,16,0.000000,14,3650,0
16,3666,16388,0,16,0.000000,14,3666,0
16,3680,16388,2,14,0.125000,16,3680,0
16,3696,16388,0,16,0.000000,16,3696,0
16,3712,16388,0,16,0.000000,16,3712,0
8,3720,16388,0,8,0.000000,16,3720,0
16,3736,16388,0,16,0.000000,16,3736,0
16,3752,16388,0,16,0.000000,16,3752,0
16,3768,16388,0,16,0.000000,16,3768,0
16,3784,16388,0,16,0.000000,16,3784,0
16,3800,16388,0,16,0.000000,16,3800,0
16,3816,16388,0,16,0.000000,16,3816,0
16,3832,16388,0,16,0.000000,16,3832,0
16,3848,16388,0,16,0.000000,16,3848,0
16,3864,16388,0,16,0.000000,16,3864,0
