slots,layer,events,recall8,recall16,recall32,residual_events,residual_recall8,residual_recall16,residual_recall32
16,1,1867,0.8962908409212641,0.9924343867166577,0.9985940010712373,1865,0.8830307672666922,0.9911860079152305,0.9977658623771225
16,2,1867,0.8775441885377611,0.9903588644884842,0.9969201928227103,1863,0.8732126881885336,0.9896959588988575,0.9969308335250364
16,3,1867,0.8430637386181039,0.9686663095875736,0.9922335297268345,1831,0.785365790226522,0.9588911861850147,0.9916465111440536
16,4,1867,0.9309721478307446,0.9965184788430638,0.9997321906802357,1843,0.9187072061597293,0.9961172260548278,0.9997642301630364
16,5,1867,0.9122254954472415,0.9931039100160686,0.9985940010712373,1855,0.9008766525478116,0.9929758695931202,0.9985849056603774
16,6,1867,0.952664702731655,0.9994643813604713,1.0,1864,0.9456021357040669,0.9995209993868792,1.0
16,7,1867,0.9124263524370648,0.9911622924477772,0.995915907873594,1861,0.9044970701875593,0.9910551162969218,0.9959027404621171
16,8,1867,0.9236073915372255,0.9994643813604713,1.0,1833,0.8939372093627413,0.9991725768321513,1.0
16,9,1867,0.9168452062131762,0.9971210498125335,0.9985270487412962,1799,0.9027581460599804,0.9963683527885863,0.9979386696312766
16,10,1867,0.925682913765399,0.9984600964113551,0.9998660953401178,1856,0.9114166410098522,0.9981988916256157,0.9998556804187192
16,11,1867,0.911756829137654,0.998393144081414,1.0,1839,0.9008299023796577,0.9976332893135502,1.0
16,12,1867,0.9519951794322442,0.9996652383502946,1.0,1865,0.9455004468275245,0.9996553044810418,1.0
16,13,1867,0.9242769148366363,0.9987279057311195,0.999933047670059,1828,0.9012712305928937,0.9978880118787121,0.9999316192560175
16,14,1867,0.9102169255490091,0.9977236207820032,1.0,1839,0.9055037675755457,0.9977614645640748,1.0
16,15,1867,0.8751339046598822,0.9813202999464381,0.9965184788430638,1774,0.8310778708326624,0.9817247812315456,0.9969882428732485
16,16,1867,0.9022495982860204,0.9938403856454204,0.9997321906802357,1786,0.8728223484242522,0.9927891537354023,0.9996400575907854
16,17,1867,0.9224692019282271,0.9974558114622389,0.9997321906802357,1849,0.9125131988977311,0.996585026655335,0.99969739112519
16,18,1867,0.9521290840921264,0.9997321906802357,1.0,1864,0.953319793582669,0.9996819435928878,1.0
16,19,1867,0.890532940546331,0.9941751472951259,1.0,1852,0.863207729095958,0.9963912886969042,1.0
16,20,1867,0.914301017675415,0.9969871451526513,1.0,1841,0.8999469749877137,0.9963037686557512,1.0
16,21,1867,0.9359266202463846,0.9977905731119443,0.9997321906802357,1823,0.9335364260899094,0.997464279183972,0.9996473630593213
16,22,1867,0.9325790037493304,0.998326191751473,1.0,1863,0.9319530710835059,0.9981085295094958,1.0
16,23,1867,0.9107525441885378,0.9925013390465989,0.9985270487412962,1842,0.8698994364303811,0.9842329765782536,0.997117522361822
16,24,1867,0.9575522228173541,0.9998660953401178,1.0,1854,0.9445664457800379,0.9998247033441208,1.0
16,25,1867,0.8784815211569362,0.9908944831280129,0.9985940010712373,1836,0.8435950306048345,0.9877528789293494,0.9985702614379085
16,26,1867,0.9099491162292448,0.9955141938939475,1.0,1858,0.8899431031831463,0.9953194679378748,1.0
16,27,1867,0.8858462774504553,0.9841322978039636,0.9989287627209427,1857,0.8686578454752929,0.9824217247480576,0.9989229940764675
16,28,1867,0.9357257632565613,0.9986609534011783,1.0,1862,0.9304498491125776,0.9985678481919085,1.0
16,29,1867,0.9224692019282271,0.9967862881628281,1.0,1826,0.9022160068846815,0.9980832420591457,1.0
16,30,1867,0.9190546331012319,0.9939742903053026,0.9986609534011783,1858,0.9090567174124763,0.9938996104362089,0.998654467168999
16,31,1867,0.8706480985538296,0.9811863952865559,0.9920326727370112,1791,0.8174689585493605,0.9758614501076813,0.9898201324080721
16,32,1867,0.9185859667916444,0.9943760042849491,0.9998660953401178,1810,0.9085345961589056,0.9934129176532492,0.9998618784530386
16,33,1867,0.9201258703802893,0.9976566684520621,0.9998660953401178,1855,0.9122737774355025,0.9974740084713131,0.9998652291105121
16,34,1867,0.9464381360471344,0.9945099089448313,0.9986609534011783,1863,0.943719806763285,0.9918142780461621,0.9973161567364466
16,35,1867,0.8761381896089984,0.9894884841992502,0.9987279057311195,1864,0.835956979358267,0.9855201307991008,0.9984620886981401
16,36,1867,0.9258837707552223,0.997589716122121,0.9998660953401178,1839,0.9138332168103783,0.99715748724721,0.9998640565524741
16,37,1867,0.9410149973219069,0.9973219068023568,0.9996652383502946,1861,0.9348615695606561,0.9971188045341727,0.9996641590542719
16,38,1867,0.9230048205677558,0.9963176218532405,0.9990626673808248,1866,0.9177155106415558,0.9963328739856071,0.9989887970193437
16,39,1867,0.919121585431173,0.9929700053561864,0.999933047670059,1813,0.8772161374202191,0.9891425682242009,0.9999310535024821
16,40,1867,0.9169121585431173,0.995112479914301,0.9996652383502946,1803,0.8815314423051528,0.9940264902411324,0.9996394897393233
16,41,1867,0.933851098018211,0.9978575254418853,0.999933047670059,1823,0.92510840320769,0.9978332419089413,0.9999314317059792
16,42,1867,0.9410819496518479,0.9985270487412962,0.9995982860203535,1826,0.9385385698638712,0.9984333437646691,0.9995892661555312
16,43,1867,0.9173808248527049,0.9900241028387788,0.9971880021424746,1834,0.9125571220854753,0.9894940800747781,0.9972737186477645
16,44,1867,0.9394081414033209,0.9993304767005892,0.999933047670059,1825,0.9351448140900196,0.9992641878669276,0.9999315068493151
16,45,1867,0.908476164970541,0.9902919121585431,0.998326191751473,1823,0.872707859885589,0.98481702060967,0.9978626283206645
16,46,1867,0.9135645420460632,0.9907605784681307,0.9993974290305303,1845,0.8997277068008775,0.9900322622273842,0.9992037682281585
16,47,340,0.8356617647058824,0.9511029411764705,0.9794117647058823,340,0.8356617647058824,0.9511029411764705,0.9794117647058823
22,1,1867,0.906869309051955,0.9924343867166577,0.9985940010712373,1861,0.8955937667920473,0.9918240321383792,0.9980745119111589
22,2,1867,0.8838377075522228,0.9904927691483664,0.9969871451526513,1860,0.8718804403481824,0.9892325908858166,0.9969802867383512
22,3,1867,0.8453401178361007,0.9733529726834493,0.9928361006963042,1796,0.7677365044013152,0.9611994909322303,0.992329515325061
22,4,1867,0.937064809855383,0.9973888591322978,0.999933047670059,1825,0.9366405740378344,0.9967658186562296,0.9999217221135029
22,5,1867,0.9181842528119979,0.9932378146759507,0.9985940010712373,1851,0.9109188083661343,0.9929401095932701,0.998581847649919
22,6,1867,0.9544724156400642,0.9995982860203535,1.0,1857,0.943457830089494,0.999586506654358,1.0
22,7,1867,0.920728441349759,0.9912961971076594,0.995915907873594,1860,0.9193612391193037,0.9912346390168971,0.9959005376344086
22,8,1867,0.9266871987145152,0.9993974290305303,1.0,1829,0.8953734801739176,0.9993712411153636,1.0
22,9,1867,0.9183181574718801,0.9973219068023568,0.9985270487412962,1781,0.905431672949921,0.9965655998502713,0.9979459105371514
22,10,1867,0.9340519550080343,0.9986609534011783,0.999933047670059,1834,0.9207314223399283,0.9982000051929167,0.999922106247079
22,11,1867,0.9163095875736476,0.9985940010712373,1.0,1767,0.8809907834101384,0.9977638989947989,1.0
22,12,1867,0.9523968934118907,0.9997321906802357,1.0,1856,0.949043000821018,0.9997306034482759,1.0
22,13,1867,0.9244777718264595,0.9989287627209427,0.999933047670059,1789,0.8884272937794458,0.9983823098831484,0.9999301285634432
22,14,1867,0.9174477771826459,0.9977236207820032,1.0,1843,0.9137935043795055,0.997766323024055,1.0
22,15,1867,0.8945500803427959,0.9872121049812533,0.9979914301017675,1684,0.8647501696640653,0.9834464427101007,0.9971793349168646
22,16,1867,0.9205275843599358,0.9941751472951259,0.9997321906802357,1743,0.8725773843674016,0.9933400267737617,0.999550583285523
22,17,1867,0.924009105516872,0.9981922870915908,0.9997991430101768,1840,0.9074495341614907,0.9973583074534161,0.9997554347826086
22,18,1867,0.96163631494376,0.9997321906802357,1.0,1856,0.9608034431444992,0.9996901939655172,1.0
