slots,events,recall8,recall16,recall32,residual_events,residual_recall8,residual_recall16,residual_recall32
16,86222,0.9159074830089768,0.994102433253694,0.998889494560553,84967,0.8989733969546722,0.9929665270606458,0.9987278674577864
22,86222,0.9208931595184524,0.9947011783535524,0.9989721300828095,83749,0.9032150064051939,0.9932815118190462,0.9986954925972108
32,86222,0.927749008373733,0.9950114239985155,0.999054765605066,81071,0.9044842821489216,0.9927331480753792,0.9985430466299089
44,86222,0.9330927721463199,0.995569576210248,0.9992098884275475,78089,0.9119488812825907,0.9942176936084531,0.998956212355987
64,86222,0.9384437846489295,0.995865324395166,0.999191041729489,73919,0.9139465721487936,0.9941223791292788,0.998654141373537
