slots,layer,events,pool_hit8_pct,fifo_recall8_pct,fifo_recall16_pct,same_layer_cross_token_overlap8_pct,same_layer_cross_token_jaccard8_pct
22,0,29285,15.75721359057538,5.832337374082295,11.644613283250811,7.549428747348977,4.566368387946212
22,1,29285,27.969950486597234,13.167577257981902,22.35231347106027,18.541766436341245,11.849665313440461
22,2,29285,29.50828068977292,13.256786750896364,23.375875021341983,19.121570773756584,12.25931001945262
22,3,29285,52.193102270787094,20.34403278128735,39.13223493255933,35.92392419785182,25.550562259185973
22,4,29285,43.137698480450744,17.01724432303227,32.623783506914805,28.570756653212012,20.051136901377753
22,5,29285,38.762164930851974,16.67193102270787,30.0567696773092,25.60888007115003,17.38814650492731
22,6,29285,35.198053611063685,16.504183028854364,28.21154174492061,24.01997673941301,15.769371370383663
22,7,29285,34.73237152125662,15.797336520402936,27.563599112173467,23.473951563248274,15.681363477764558
22,8,29285,53.47703602526891,23.20641966877241,41.8426668943145,38.30385852090032,26.420934883680086
22,9,29285,57.63317397985317,23.323373740822948,43.94655967218713,40.57475884244373,28.244707942316428
22,10,29285,48.3686187467987,20.473792043708382,37.515793068123614,33.701768488745984,22.39325139372755
22,11,29285,53.47703602526891,21.46747481645894,40.60099026805532,36.476363138810974,24.693153797617793
22,12,29285,35.04225712822264,15.165613795458427,27.18456547720676,22.395583909146882,14.54923980339606
22,13,29285,47.03047635308178,19.9974389619259,36.62455181833703,31.986300198399125,21.341503965158996
22,14,29285,49.411388082636165,20.216407717261397,37.49615844288885,32.6956625846617,21.808779576444895
22,15,29285,73.39636332593479,27.638296056001366,55.16945535256958,53.060220975576385,40.05259887999921
22,16,29285,66.66168687041147,25.674833532525184,50.11311251493939,47.19932270643771,34.39763227202784
22,17,29285,51.05856240396107,21.291616868704114,39.31364179614137,34.71343298898543,23.659976732423438
22,18,29285,34.384070343179104,15.105002561038074,26.861021000512206,22.592700280495315,14.74494582519498
22,19,29285,52.147003585453305,21.51101246371863,39.74176199419498,35.684904563179856,24.225539650041824
22,20,29285,50.23774970121222,20.978743383984977,38.75149393887656,35.55449134569337,24.179495525185775
22,21,29285,41.58997780433669,19.038330203175686,32.92940071709066,28.970120407744407,19.22206615987664
22,22,29285,27.403961072221275,11.933156906266007,21.353081782482498,16.68605048915646,10.617599241119754
22,23,29285,60.3995219395595,23.95125490865631,45.88996073074953,44.24043921461312,31.552218960714864
22,24,29285,52.093648625576236,21.674065221102953,40.268908997780436,37.120305124170486,25.440573884163182
22,25,29285,57.70659040464402,23.12318593136418,43.78478743383985,40.91768146678525,28.43611201687051
22,26,29285,49.4613283250811,20.62446645040123,37.93708383131296,34.039987685571596,22.712937105080506
22,27,29285,53.95552330544648,21.909680723920097,40.927949462182006,37.16904973660806,25.190487072538673
22,28,29285,37.73390814410108,15.78453133003244,28.749786580160492,24.36717520695081,15.760693966891944
22,29,29285,47.559330715383304,20.3943998634113,36.845227932388596,31.55743312581241,20.953943246477
22,30,29285,51.199846337715556,21.48113368618747,39.21333447157248,34.893445987548745,23.43627889293605
22,31,29285,75.55745262079563,28.742530305617212,56.74577428717774,56.595915714578915,43.576932519951875
22,32,29285,69.75584770360253,27.629759262421036,52.99684138637528,51.461055620168295,38.33893828079246
22,33,29285,53.80783677650675,23.105258664845483,41.54259859996585,37.83821919682561,26.16052582871657
22,34,29285,36.91821751750043,16.814495475499402,28.978999487792386,24.437299035369776,16.059308034404964
22,35,29285,57.440669284616696,24.209919754140344,44.16126003073246,42.04906957652049,29.343159937670116
22,36,29285,61.23911558818508,26.06496499914632,47.399692675431105,46.634056235889716,33.91085695525825
22,37,29285,48.928205565989416,21.776079904387913,38.01476865289397,34.70317096531436,23.797631298483466
22,38,29285,31.969011439303397,13.7164930851972,24.661942974218885,20.035318464801257,13.005068027986747
22,39,29285,73.15391838825337,29.56035513061294,55.75678675089636,58.75991995621536,45.898430395257286
22,40,29285,70.63599112173468,29.099795116954073,54.10150247567014,55.427327769036054,42.39803312390754
22,41,29285,61.29503158613625,25.562574696943827,46.958767287007,46.44121570773756,33.607612580043366
22,42,29285,47.389021683455695,20.980877582380057,36.9408400204883,32.97573031401792,22.885967042767838
22,43,29285,66.44101075635992,27.242188833873996,50.755506231859314,51.1968085106383,38.082853575092734
22,44,29285,57.886716749189006,25.125064025951854,44.859142905924536,43.696124375726896,31.395521994138957
22,45,29285,59.67944340105856,25.526720163906436,45.9509988048489,44.654340836012864,32.28149956206239
22,46,29285,54.32388594843777,22.92427864094246,41.598514597917024,38.82636655948553,27.128918150327625
22,47,24843,48.65505373747132,20.18174133558749,37.14124703135692,31.444619232010325,21.0626263772428
44,0,29285,30.090063172272494,5.425559159979512,10.776421376131125,7.549428747348977,4.566368387946212
44,1,29285,42.845740140003414,11.356496499914632,19.397302373228616,18.541766436341245,11.849665313440461
44,2,29285,44.54498890216835,11.537049684138637,19.79255591599795,19.121570773756584,12.25931001945262
44,3,29285,68.77411644186444,14.845057196516988,28.273860338057027,35.92392419785182,25.550562259185973
44,4,29285,61.21820044391327,13.047208468499232,24.55309885606966,28.570756653212012,20.051136901377753
44,5,29285,55.29067782141028,13.579050708553867,24.265408912412497,25.60888007115003,17.38814650492731
44,6,29285,50.47549940242445,13.955096465767458,23.608075806726994,24.01997673941301,15.769371370383663
44,7,29285,49.27607990438791,13.28325081099539,22.80177565306471,23.473951563248274,15.681363477764558
44,8,29285,67.55207444084002,18.524415229639747,32.35615502817142,38.30385852090032,26.420934883680086
44,9,29285,72.44237664333276,17.350179272665187,31.635649649991464,40.57475884244373,28.244707942316428
44,10,29285,62.67884582550794,16.66339422912754,29.56078197029196,33.701768488745984,22.39325139372755
44,11,29285,68.97558477036026,16.84736213078368,31.27625064025952,36.476363138810974,24.693153797617793
44,12,29285,51.37655796482841,12.439815605258666,22.129503158613623,22.395583909146882,14.54923980339606
44,13,29285,61.52040293665699,16.372716407717263,29.16296738944852,31.986300198399125,21.341503965158996
44,14,29285,65.49854874509134,15.593733993512037,28.688748506061124,32.6956625846617,21.808779576444895
44,15,29285,86.54430595868192,18.02245176711627,35.63172272494451,53.060220975576385,40.05259887999921
44,16,29285,81.49948779238518,17.865374765238176,34.457486767969954,47.19932270643771,34.39763227202784
44,17,29285,66.38765579648285,16.599795116954073,29.9432303226908,34.71343298898543,23.659976732423438
44,18,29285,50.49556086733823,12.731773945705992,22.52987877753116,22.592700280495315,14.74494582519498
44,19,29285,67.42188833873998,16.747908485572818,30.275738432644697,35.684904563179856,24.225539650041824
44,20,29285,65.1237835069148,16.201980536110636,28.835154515963804,35.55449134569337,24.179495525185775
44,21,29285,57.41804678162882,15.469523646918217,26.508878265323546,28.970120407744407,19.22206615987664
44,22,29285,43.41855898924364,10.32269079733652,18.529964145466963,16.68605048915646,10.617599241119754
44,23,29285,74.65169882192248,17.352740310739286,32.15127198224347,44.24043921461312,31.552218960714864
44,24,29285,67.17218712651528,16.834983780092198,30.24201809800239,37.120305124170486,25.440573884163182
44,25,29285,72.7936656991634,17.151698821922487,31.52808605087929,40.91768146678525,28.43611201687051
44,26,29285,65.17201639064368,16.07905070855387,29.16211371009049,34.039987685571596,22.712937105080506
44,27,29285,70.02945193785214,16.564794263274713,30.600136588697286,37.16904973660806,25.190487072538673
44,28,29285,54.80792214444255,12.683114222298105,23.188492402253715,24.36717520695081,15.760693966891944
44,29,29285,63.36947242615673,16.58997780433669,29.59407546525525,31.55743312581241,20.953943246477
44,30,29285,67.10005122076149,16.53278128734847,29.673894485231347,34.893445987548745,23.43627889293605
44,31,29285,87.22212736896022,18.831312958852656,36.04490353423254,56.595915714578915,43.576932519951875
44,32,29285,82.75354276933584,19.291019293153493,35.75892094929144,51.461055620168295,38.33893828079246
44,33,29285,68.64478401912241,17.808605087928974,31.808946559672187,37.83821919682561,26.16052582871657
44,34,29285,53.75192077855557,13.75746969438279,23.920522451767116,24.437299035369776,16.059308034404964
44,35,29285,71.7914461328325,18.01903704968414,32.279323885948436,42.04906957652049,29.343159937670116
44,36,29285,74.52492743725456,19.019976096977974,33.67039439986341,46.634056235889716,33.91085695525825
44,37,29285,65.09347788970463,16.799129247054807,29.65639405839167,34.70317096531436,23.797631298483466
44,38,29285,49.17619941949803,11.469182175175005,20.900631722724945,20.035318464801257,13.005068027986747
44,39,29285,83.9661942974219,19.96414546696261,36.25917705309885,58.75991995621536,45.898430395257286
44,40,29285,81.9122417619942,20.05719651698822,36.03892777872631,55.427327769036054,42.39803312390754
44,41,29285,74.60175857947755,18.41599795116954,32.87732627625064,46.44121570773756,33.607612580043366
44,42,29285,63.789482670309035,15.963803995219395,28.32764213761311,32.97573031401792,22.885967042767838
44,43,29285,79.23040805873313,18.72374935974048,33.99180467816288,51.1968085106383,38.082853575092734
44,44,29285,72.42829093392521,17.946047464572306,31.659125832337374,43.696124375726896,31.395521994138957
44,45,29285,73.86972852996415,18.102697626771384,32.462438108246545,44.654340836012864,32.28149956206239
44,46,29285,69.50657333105686,16.8247396277958,30.41232712993,38.82636655948553,27.128918150327625
44,47,24843,66.09658656361952,14.913657770800627,27.366863905325445,31.444619232010325,21.0626263772428
